type,name,year,cellar,region,country,varieties,eco,rating,stars,opinions,likes,parker,penin,suckling,price,old_price,offer
Vinos rosados y rosé,Muga Rosado,2021,Bodegas Muga,Rioja,España,Garnacha / Viura / Tempranillo,,4.60465,5,43,34,90,-1,-1,"8,95 €",,False
Vinos rosados y rosé,Chivite Las Fincas Rosado,2021,Chivite,3 Riberas,España,Garnacha / Tempranillo,,4.20408,5,49,28,-1,-1,-1,"11,50 €",,False
Vinos rosados y rosé,Viña Real Rosado,2021,Viña Real,Rioja,España,Viura / Tempranillo,,4.14286,5,7,9,91,-1,-1,"6,90 €",,False
Vinos rosados y rosé,Naranjas Azules,2021,Soto y Manrique,Cebreros,España,Garnacha,,3.64706,5,17,18,-1,-1,-1,"9,50 €",,False
Vinos rosados y rosé,Can Sumoi La Rosa,2021,Can Sumoi,Penedès,España,Sumoll / Parellada / Xarel·lo,ECO,4.0,5,17,6,-1,-1,-1,"11,85 €",,False
Vinos rosados y rosé,Izadi Larrosa Rosé,2021,Bodegas Izadi,Rioja,España,Garnacha,,4.36,5,25,11,90,-1,91,"7,90 €",,False
Vinos rosados y rosé,Château Saint Maur L'Excellence,2021,Château Saint Maur,Côtes-de-Provence,Francia,Garnacha / Cinsaut / Monastrell / Rolle,,4.66667,5,3,3,-1,-1,-1,"24,95 €",,False
Vinos rosados y rosé,Las Cañadas,2021,Bodegas y Viñedos Ponce,Manchuela,España,Bobal,,3.75,5,4,5,91,-1,-1,"7,60 €",,False
Vinos rosados y rosé,Zutanita,2021,Wine Side Story,Côtes-de-Provence,Francia,Cinsaut / Garnacha,,4.33333,5,9,7,-1,-1,-1,"11,95 €",,False
Vinos rosados y rosé,Flor de Muga Rosado,2021,Bodegas Muga,Rioja,España,Garnacha,,4.375,5,8,9,93,-1,-1,"19,90 €",,False
Vinos rosados y rosé,Ramón Bilbao Rosado,2021,Bodegas Ramón Bilbao,Rioja,España,Garnacha,,4.26087,5,23,3,-1,-1,-1,"6,50 €",,False
Vinos rosados y rosé,Gran Caus Rosado,2021,Can Ràfols dels Caus,Penedès,España,Merlot,,4.42857,5,7,3,90,-1,-1,"16,95 €",,False
Vinos rosados y rosé,Torelló Rosa d'Abril,2021,Torelló,Penedès,España,Macabeo / Syrah / Malvasía,ECO,4.5,5,2,1,-1,-1,-1,"10,30 €",,False
Vinos rosados y rosé,Cortijo Los Aguilares Rosado,2021,Cortijo Los Aguilares,Sierras de Málaga,España,Tempranillo / Merlot / Syrah / Petit verdot,,4.4,5,5,3,-1,-1,-1,"11,95 €",,False
Vinos rosados y rosé,Llopart Carmí,2021,Cavas Llopart,Penedès,España,Sumoll / Garnacha,ECO,5.0,5,2,0,-1,-1,-1,"9,95 €",,False
Vinos rosados y rosé,Bach Viña Extrísima Rosado Seco,2021,Masia Bach,Catalunya,España,Cabernet sauvignon / Tempranillo / Merlot,,4.67647,5,34,9,-1,-1,-1,"4,40 €",,False
Vinos rosados y rosé,Raimat Clamor Rosado,2021,Raimat,Costers del Segre,España,Cabernet sauvignon / Merlot,,4.4,5,5,2,-1,-1,-1,"5,95 €",,False
Vinos rosados y rosé,Bach Extrísimo Rosado Semidulce,2021,Masia Bach,Catalunya,España,Cabernet sauvignon / Tempranillo / Merlot,,4.86667,5,15,5,-1,-1,-1,"4,60 €",,False
Vinos rosados y rosé,René Barbier Rosado,2021,René Barbier,Catalunya,España,Tempranillo / Merlot,,4.54545,5,11,6,-1,-1,-1,"4,10 €",,False
Vinos rosados y rosé,Campo Viejo Rosado,2021,Bodegas Campo Viejo,Rioja,España,Tempranillo,,4.69231,5,13,5,-1,-1,-1,"4,50 €",,False
Vinos rosados y rosé,Cune Rosado,2021,Compañía Vinícola del Norte de España - CVNE,Rioja,España,Tempranillo,,4.33333,5,9,7,-1,-1,-1,"4,80 €",,False
Vinos rosados y rosé,Cresta Rosa,-1,Perelada,Sin indicación geográfica,España,Tempranillo / Cariñena / Garnacha,,4.2381,5,21,8,-1,-1,-1,"4,25 €",,False
Vinos rosados y rosé,Lambrusco Rosato Crestissimo,-1,Perelada,Emilia,Italia,Lambrusco,,3.5,5,4,5,-1,-1,-1,"4,05 €",,False
Vinos rosados y rosé,Laus Rosado,2021,Bodegas Laus,Somontano,España,Syrah / Garnacha,,0.0,5,0,0,-1,-1,-1,"5,40 €",,False
Vinos rosados y rosé,Miraval Rosé,2021,Château Miraval,Côtes-de-Provence,Francia,Cinsaut / Garnacha / Syrah / Rolle,,3.875,5,8,7,-1,-1,-1,"19,40 €",,False
Vinos rosados y rosé,Pago del Vicario Petit Verdot Rosado,2021,Bodega Pago del Vicario,Castilla,España,Petit verdot,,4.58824,5,17,6,-1,-1,-1,"7,30 €",,False
